epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,7097,1.98825,1.19026,1.04787,0.72738,0.52906,0.50292,0.18506,2.364,1.46836,1.22604,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7227.72,1.98483,1.18973,1.04598,0.73178,0.52352,0.50355,0.18429,2.37066,1.47917,1.22934,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7358.49,1.97476,1.17477,1.04561,0.71903,0.52256,0.50116,0.184,2.37603,1.4833,1.23421,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7489.53,1.96329,1.1684,1.03912,0.7185,0.52171,0.49932,0.18187,2.38314,1.48265,1.23919,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7620.38,1.96316,1.17606,1.04284,0.71024,0.5195,0.49645,0.18302,2.36178,1.48736,1.23139,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7751.3,1.96334,1.16572,1.03689,0.71589,0.5218,0.49632,0.1871,2.34882,1.48867,1.22741,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7882.67,1.9452,1.15436,1.03529,0.72227,0.5241,0.50021,0.18796,2.3588,1.47341,1.23297,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8014.37,1.9337,1.14409,1.02799,0.72256,0.526,0.50571,0.18661,2.37796,1.46881,1.2404,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8145.45,1.92505,1.14127,1.03134,0.72378,0.52715,0.50118,0.18409,2.37389,1.48653,1.2374,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8276.49,1.9194,1.13486,1.02711,0.72413,0.52297,0.49828,0.17924,2.38517,1.48193,1.24236,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8407.74,1.91335,1.1299,1.02483,0.71604,0.52371,0.49608,0.1773,2.38971,1.48203,1.24597,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8538.72,1.90319,1.11921,1.0241,0.69899,0.51593,0.48412,0.17605,2.40251,1.4843,1.25129,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8669.79,1.90505,1.12564,1.02395,0.70367,0.51377,0.48607,0.17629,2.40594,1.48229,1.25137,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8801.19,1.8896,1.09615,1.02024,0.7073,0.52103,0.49328,0.17763,2.40059,1.4888,1.24812,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
