epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,14131.6,2.28472,1.65093,1.14555,0.63334,0.43274,0.38835,0.13356,2.56309,2.18383,1.26211,0.0008714,0.0008714,0.0008714
59,14375.2,2.26803,1.59726,1.12914,0.62118,0.42275,0.37443,0.13427,2.5341,2.23383,1.25522,0.0008516,0.0008516,0.0008516
60,14618.8,2.2673,1.60778,1.13547,0.60307,0.42742,0.38247,0.13171,2.55158,2.27168,1.25158,0.0008318,0.0008318,0.0008318
61,14862.4,2.26946,1.60914,1.12395,0.60263,0.39662,0.3729,0.12726,2.58437,2.23937,1.27182,0.000812,0.000812,0.000812
62,15106.1,2.2538,1.57794,1.12416,0.60391,0.42198,0.37869,0.13288,2.55049,2.23189,1.2615,0.0007922,0.0007922,0.0007922
63,15349.6,2.23897,1.59916,1.12407,0.6242,0.41891,0.3772,0.13182,2.5326,2.16754,1.25339,0.0007724,0.0007724,0.0007724
64,15593.1,2.24572,1.58073,1.12254,0.62821,0.42736,0.37937,0.13193,2.51412,2.19861,1.25279,0.0007526,0.0007526,0.0007526
65,15836.7,2.22016,1.58518,1.11983,0.57513,0.42429,0.36408,0.12683,2.53809,2.25459,1.26258,0.0007328,0.0007328,0.0007328
66,16080.4,2.24789,1.57906,1.1229,0.60118,0.42275,0.36771,0.12991,2.56635,2.18271,1.27762,0.000713,0.000713,0.000713
67,16324,2.20771,1.55943,1.12013,0.60173,0.41353,0.3662,0.12737,2.56325,2.24921,1.26799,0.0006932,0.0006932,0.0006932
68,16567.5,2.22001,1.55508,1.12191,0.6126,0.40839,0.37815,0.131,2.58867,2.21516,1.2724,0.0006734,0.0006734,0.0006734
69,16811.1,2.22546,1.55919,1.12064,0.63064,0.41996,0.3752,0.12952,2.5563,2.20591,1.25692,0.0006536,0.0006536,0.0006536
70,17054.6,2.2161,1.52393,1.1134,0.57642,0.42121,0.3624,0.1265,2.58597,2.24951,1.27784,0.0006338,0.0006338,0.0006338
71,17298,2.1963,1.5505,1.10904,0.64132,0.41045,0.36901,0.12684,2.55761,2.19688,1.26564,0.000614,0.000614,0.000614
72,17541.3,2.18003,1.50902,1.11209,0.57376,0.40968,0.35674,0.12126,2.57314,2.22556,1.27803,0.0005942,0.0005942,0.0005942
73,17784.9,2.20743,1.53047,1.11109,0.59962,0.41583,0.36555,0.12528,2.56504,2.24558,1.26588,0.0005744,0.0005744,0.0005744
74,18028.7,2.19908,1.53337,1.12121,0.64854,0.39855,0.37459,0.13348,2.54542,2.20505,1.26883,0.0005546,0.0005546,0.0005546
75,18272.3,2.20531,1.5334,1.10955,0.59159,0.43044,0.37414,0.13459,2.56436,2.21639,1.2756,0.0005348,0.0005348,0.0005348
76,18515.7,2.16865,1.5002,1.09876,0.61371,0.43351,0.37987,0.1338,2.57217,2.19067,1.27842,0.000515,0.000515,0.000515
77,18759,2.1774,1.5195,1.10372,0.61078,0.43301,0.36484,0.13001,2.57638,2.19656,1.28641,0.0004952,0.0004952,0.0004952
78,19002.3,2.16745,1.49638,1.10254,0.65525,0.4143,0.38439,0.13538,2.59112,2.21178,1.28632,0.0004754,0.0004754,0.0004754
79,19245.4,2.17323,1.49715,1.10066,0.60745,0.43351,0.37482,0.13497,2.57062,2.20172,1.27547,0.0004556,0.0004556,0.0004556
80,19488.3,2.14702,1.48219,1.09524,0.62592,0.4289,0.37533,0.13381,2.57762,2.1754,1.28473,0.0004358,0.0004358,0.0004358
81,19731.3,2.15385,1.49056,1.1038,0.61674,0.4292,0.36579,0.12772,2.58848,2.19712,1.28564,0.000416,0.000416,0.000416
82,19974.2,2.14527,1.49021,1.09945,0.61178,0.4289,0.36883,0.13214,2.58512,2.17575,1.28345,0.0003962,0.0003962,0.0003962
