epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,44784.7,2.35524,1.73587,1.14615,0.63857,0.40741,0.38461,0.13114,2.60072,2.37804,1.27897,0.0006536,0.0006536,0.0006536
70,45432.8,2.35919,1.76256,1.1471,0.62611,0.40815,0.38005,0.12887,2.58963,2.41466,1.27354,0.0006338,0.0006338,0.0006338
71,46081.4,2.32599,1.72664,1.14252,0.64746,0.40584,0.36901,0.13081,2.58654,2.36522,1.28908,0.000614,0.000614,0.000614
72,46729.8,2.34163,1.73519,1.15167,0.59925,0.40968,0.37156,0.13036,2.57611,2.39827,1.26685,0.0005942,0.0005942,0.0005942
73,47378.5,2.33105,1.70716,1.13492,0.62133,0.41814,0.377,0.1312,2.57893,2.33789,1.28182,0.0005744,0.0005744,0.0005744
74,48026.8,2.36009,1.72216,1.14957,0.62643,0.41504,0.37877,0.1303,2.58809,2.32758,1.28537,0.0005546,0.0005546,0.0005546
75,48675,2.32141,1.69435,1.13532,0.63589,0.41968,0.389,0.13611,2.56227,2.31039,1.2787,0.0005348,0.0005348,0.0005348
76,49325,2.31517,1.7164,1.12615,0.62231,0.41891,0.37352,0.12872,2.57405,2.34911,1.27768,0.000515,0.000515,0.000515
77,49973.1,2.32656,1.71138,1.14035,0.61195,0.41507,0.38005,0.13376,2.57573,2.36985,1.28145,0.0004952,0.0004952,0.0004952
78,50621.2,2.289,1.67747,1.13126,0.61723,0.42659,0.39321,0.13725,2.57761,2.33414,1.2796,0.0004754,0.0004754,0.0004754
79,51271.2,2.31808,1.66742,1.13648,0.60594,0.42198,0.37771,0.13194,2.5715,2.32768,1.28147,0.0004556,0.0004556,0.0004556
80,51919.6,2.29705,1.69696,1.12185,0.62631,0.41583,0.38002,0.13223,2.58113,2.32169,1.28527,0.0004358,0.0004358,0.0004358
81,52568,2.29799,1.68304,1.13209,0.62675,0.41891,0.38384,0.13302,2.58267,2.32981,1.28757,0.000416,0.000416,0.000416
82,53216.1,2.30228,1.67675,1.14054,0.6138,0.42429,0.38282,0.13195,2.57574,2.33981,1.27997,0.0003962,0.0003962,0.0003962
83,53864.5,2.26499,1.6362,1.11548,0.61456,0.41914,0.37858,0.13047,2.58449,2.32114,1.29682,0.0003764,0.0003764,0.0003764
84,54512.8,2.28779,1.63837,1.12037,0.61863,0.42736,0.37987,0.13286,2.58908,2.31882,1.29567,0.0003566,0.0003566,0.0003566
85,55160.8,2.25382,1.64848,1.12182,0.61348,0.42736,0.38784,0.1333,2.58607,2.31432,1.29034,0.0003368,0.0003368,0.0003368
86,55808.9,2.26215,1.64981,1.12883,0.62342,0.42583,0.38972,0.1346,2.57414,2.29348,1.2877,0.000317,0.000317,0.000317
87,56457.5,2.23584,1.63072,1.11871,0.62612,0.42352,0.38683,0.13509,2.57912,2.29375,1.29279,0.0002972,0.0002972,0.0002972
88,57105.5,2.2684,1.62461,1.11992,0.60737,0.43044,0.38884,0.13587,2.56733,2.31174,1.29347,0.0002774,0.0002774,0.0002774
89,57754,2.22011,1.59878,1.11478,0.61432,0.42275,0.38564,0.13139,2.58813,2.33116,1.30025,0.0002576,0.0002576,0.0002576
90,58402.4,2.24901,1.63119,1.12638,0.60204,0.42659,0.3868,0.13105,2.59218,2.3278,1.30126,0.0002378,0.0002378,0.0002378
91,59050.2,2.26233,1.66534,1.16851,0.59919,0.42287,0.38339,0.12746,2.60222,2.35231,1.30399,0.000218,0.000218,0.000218
92,59697.5,2.23774,1.68536,1.15362,0.62653,0.41908,0.38334,0.12707,2.60446,2.33778,1.30271,0.0001982,0.0001982,0.0001982
93,60344.9,2.21999,1.63905,1.16235,0.63464,0.41924,0.38532,0.12951,2.61366,2.3496,1.30726,0.0001784,0.0001784,0.0001784
94,60992.4,2.20996,1.61463,1.14891,0.6235,0.42813,0.38622,0.1296,2.62236,2.38582,1.30617,0.0001586,0.0001586,0.0001586
95,61639.8,2.21391,1.62189,1.15057,0.61328,0.42785,0.389,0.13178,2.61019,2.35965,1.30086,0.0001388,0.0001388,0.0001388
96,62287.2,2.20323,1.60806,1.14797,0.60839,0.42813,0.38677,0.13109,2.60132,2.33074,1.30075,0.000119,0.000119,0.000119
97,62935,2.19542,1.60566,1.15127,0.60562,0.43121,0.38802,0.1325,2.59511,2.32431,1.30305,9.92e-05,9.92e-05,9.92e-05
98,63582.5,2.1933,1.60621,1.14798,0.60326,0.4301,0.3879,0.13117,2.60882,2.32962,1.3107,7.94e-05,7.94e-05,7.94e-05
99,64229.9,2.18597,1.5833,1.14968,0.60968,0.43198,0.38977,0.13261,2.618,2.33065,1.3178,5.96e-05,5.96e-05,5.96e-05
100,64877.5,2.18391,1.58218,1.14074,0.60998,0.43889,0.39444,0.1333,2.61436,2.32628,1.31651,3.98e-05,3.98e-05,3.98e-05
