epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,9849.46,2.2168,1.50956,1.11481,0.64043,0.41045,0.38025,0.12411,2.59109,2.17567,1.31322,0.0006932,0.0006932,0.0006932
68,9995.26,2.19801,1.51493,1.12186,0.63565,0.39739,0.37777,0.1228,2.61158,2.18346,1.31538,0.0006734,0.0006734,0.0006734
69,10141,2.1975,1.51427,1.11536,0.63099,0.40088,0.37047,0.12355,2.60082,2.20226,1.31344,0.0006536,0.0006536,0.0006536
70,10287.1,2.21282,1.51152,1.11841,0.63047,0.4143,0.37992,0.12785,2.60663,2.16078,1.30859,0.0006338,0.0006338,0.0006338
71,10432.9,2.20223,1.4947,1.10798,0.62683,0.40738,0.3722,0.12374,2.62192,2.17517,1.31623,0.000614,0.000614,0.000614
72,10578.7,2.17412,1.47941,1.11335,0.62401,0.41077,0.38075,0.12701,2.58693,2.16109,1.30345,0.0005942,0.0005942,0.0005942
73,10724.9,2.16713,1.46704,1.10309,0.58031,0.39892,0.37093,0.12571,2.59923,2.18398,1.30818,0.0005744,0.0005744,0.0005744
74,10870.8,2.16474,1.48744,1.10842,0.60403,0.40804,0.37409,0.12912,2.58359,2.1797,1.29976,0.0005546,0.0005546,0.0005546
75,11016.7,2.15654,1.44677,1.10175,0.63716,0.40738,0.38336,0.12877,2.59018,2.18483,1.30409,0.0005348,0.0005348,0.0005348
76,11163.5,2.15687,1.45569,1.10004,0.63161,0.4166,0.3896,0.12724,2.59543,2.17792,1.30303,0.000515,0.000515,0.000515
77,11309.2,2.15622,1.44733,1.10291,0.64153,0.40584,0.38088,0.12918,2.58843,2.13775,1.30044,0.0004952,0.0004952,0.0004952
78,11455,2.1492,1.43577,1.10362,0.6243,0.4036,0.38214,0.12768,2.59619,2.1438,1.30638,0.0004754,0.0004754,0.0004754
79,11600.9,2.13055,1.42166,1.09749,0.6077,0.40661,0.37553,0.12534,2.6352,2.16452,1.31929,0.0004556,0.0004556,0.0004556
80,11746.6,2.12088,1.4339,1.08853,0.63241,0.41391,0.38736,0.12952,2.61476,2.15277,1.31647,0.0004358,0.0004358,0.0004358
81,11892.2,2.12872,1.43103,1.09444,0.62279,0.402,0.38019,0.13257,2.59484,2.11812,1.31573,0.000416,0.000416,0.000416
82,12038.1,2.11031,1.40345,1.09203,0.58092,0.41737,0.37163,0.12383,2.61313,2.17799,1.321,0.0003962,0.0003962,0.0003962
