epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,7817.15,2.09892,1.34781,1.08331,0.65588,0.48424,0.44469,0.1566,2.51498,1.81043,1.2938,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7999.04,2.07424,1.30778,1.07677,0.66103,0.49308,0.44448,0.15099,2.55436,1.8435,1.31313,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8179.44,2.07655,1.32229,1.07852,0.67875,0.4854,0.45214,0.15531,2.5338,1.81475,1.29885,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8359.98,2.06436,1.29716,1.07462,0.6727,0.47733,0.44991,0.151,2.53385,1.82017,1.29891,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8540.49,2.05373,1.28435,1.07054,0.64008,0.47963,0.43791,0.14788,2.55092,1.80351,1.30557,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8720.94,2.04484,1.28228,1.06638,0.67911,0.47579,0.43086,0.14764,2.53754,1.79336,1.30551,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8901.36,2.03227,1.27253,1.06616,0.69717,0.47954,0.44825,0.15508,2.5262,1.77646,1.30398,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9081.71,2.02574,1.26041,1.06677,0.66552,0.48847,0.44491,0.15428,2.54219,1.78813,1.3043,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9262.08,2.00904,1.23699,1.05349,0.68321,0.4854,0.42702,0.14855,2.54181,1.77437,1.30872,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9442.51,1.98369,1.23649,1.05303,0.7063,0.47925,0.43656,0.15118,2.53673,1.7642,1.31399,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9622.8,1.984,1.22696,1.05138,0.69661,0.46857,0.42685,0.14769,2.54021,1.79711,1.31226,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9803.18,1.97133,1.20107,1.04525,0.69152,0.47298,0.45106,0.1546,2.55259,1.76931,1.32285,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9983.6,1.9565,1.20838,1.04168,0.68398,0.48962,0.45602,0.15854,2.56736,1.74707,1.3263,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10165.7,1.95174,1.20329,1.04036,0.71678,0.48923,0.45863,0.15892,2.56138,1.72498,1.3262,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10347.6,1.93937,1.1972,1.03917,0.71044,0.49039,0.45283,0.15398,2.57219,1.75064,1.33574,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10527.9,1.92187,1.17521,1.02903,0.71651,0.47194,0.44732,0.15143,2.56801,1.75546,1.33095,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10708.3,1.9062,1.16774,1.0258,0.6862,0.47886,0.44632,0.15016,2.5726,1.77815,1.33458,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10888.7,1.90901,1.15331,1.02674,0.67646,0.46123,0.44091,0.14793,2.58436,1.79217,1.34402,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11069,1.88791,1.15558,1.02288,0.67219,0.46541,0.43667,0.14909,2.57537,1.79322,1.33828,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11249.5,1.86623,1.1303,1.02042,0.6714,0.48347,0.43928,0.14793,2.58649,1.77513,1.34787,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11429.8,1.84921,1.12551,1.01461,0.68565,0.46695,0.43942,0.14744,2.58987,1.76673,1.34784,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11610.2,1.85255,1.11102,1.01784,0.69571,0.47925,0.44619,0.14936,2.59136,1.75741,1.34725,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11790.4,1.85079,1.11896,1.01137,0.70535,0.48117,0.44657,0.14807,2.59981,1.73882,1.35428,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11970.7,1.83014,1.10204,1.01048,0.71015,0.48398,0.4493,0.14794,2.59263,1.73264,1.34919,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12151,1.79937,1.07533,0.99627,0.69223,0.48232,0.44336,0.14846,2.5991,1.74666,1.35606,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12331.4,1.80435,1.0876,1.00052,0.69493,0.48309,0.44039,0.14691,2.60363,1.76553,1.356,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12511.7,1.79235,1.07158,0.99107,0.69411,0.48463,0.44192,0.14708,2.61142,1.74961,1.36227,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12692.2,1.7809,1.05772,0.9944,0.70946,0.48518,0.44668,0.14756,2.61934,1.74039,1.36812,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12872.5,1.76736,1.06017,0.98872,0.70121,0.48614,0.44352,0.14795,2.62513,1.7433,1.37065,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13053,1.74833,1.05467,0.98144,0.69149,0.48655,0.44045,0.14738,2.62915,1.75678,1.37438,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13233.5,1.73802,1.03989,0.98808,0.69389,0.48463,0.44248,0.147,2.63842,1.76486,1.37902,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13414.1,1.72241,1.01967,0.97903,0.67445,0.4854,0.43719,0.14553,2.63597,1.76215,1.37856,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13594.3,1.70799,1.01715,0.97423,0.69682,0.4754,0.43894,0.14649,2.64163,1.76333,1.38255,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13774.7,1.69891,1.01213,0.97312,0.70119,0.47156,0.43595,0.14384,2.64793,1.76955,1.38553,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13954.9,1.69126,0.99674,0.9693,0.68982,0.47233,0.4283,0.14121,2.65145,1.7701,1.38872,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14135.3,1.67818,0.99374,0.96417,0.68541,0.47425,0.4243,0.13991,2.6511,1.77251,1.39027,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14315.7,1.66596,0.99101,0.96278,0.68222,0.47359,0.42418,0.13997,2.65549,1.77311,1.39416,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14496.1,1.6613,0.98643,0.95866,0.68802,0.47125,0.42453,0.1392,2.6587,1.77412,1.39535,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14676.3,1.63726,0.97763,0.95982,0.68079,0.47293,0.42493,0.13798,2.66338,1.77859,1.39785,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14856.9,1.61958,0.96204,0.95143,0.68108,0.47271,0.4283,0.13786,2.66492,1.77824,1.39926,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15037.1,1.61573,0.95618,0.95242,0.68159,0.46893,0.42545,0.13732,2.66888,1.77552,1.40384,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15217.6,1.59626,0.94755,0.9486,0.66941,0.47393,0.42329,0.13679,2.67235,1.77666,1.40694,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15397.8,1.59167,0.94161,0.94141,0.66901,0.4754,0.42382,0.13731,2.67621,1.77901,1.41168,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15578.3,1.57057,0.92961,0.94379,0.66872,0.47733,0.42331,0.13702,2.68073,1.78223,1.41651,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15758.5,1.56136,0.92279,0.94019,0.67144,0.4783,0.42181,0.13703,2.68434,1.78169,1.41991,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15938.9,1.54944,0.91068,0.9333,0.66944,0.47463,0.41897,0.13625,2.68726,1.78516,1.42326,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16119.1,1.52385,0.90441,0.93022,0.66534,0.47425,0.41838,0.13593,2.69019,1.78685,1.42682,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
